,correct,left_coherence,pressed,right_coherence,rt,subj,coherence
338,True,0.06,J,0.18,1.3652414253208462,102,"0.06, 0.18"
339,False,0.12,F,0.3,2.3227712150876414,102,"0.12, 0.3"
340,False,0.24,F,0.24,1.147964870391661,102,"0.24, 0.24"
341,False,0.24,J,0.06,1.3949441967408802,102,"0.06, 0.24"
342,True,0.24,F,0.12,0.8434941819600681,102,"0.12, 0.24"
343,True,0.24,F,0.24,1.0126181055622965,102,"0.24, 0.24"
344,True,0.18,F,0.06,0.8274849094455021,102,"0.06, 0.18"
345,False,0.0,F,0.18,0.7975210126289767,102,"0.0, 0.18"
346,True,0.18,J,0.3,0.6146152092176179,102,"0.18, 0.3"
347,False,0.3,F,0.3,0.6340788174802583,102,"0.3, 0.3"
348,True,0.12,J,0.12,1.6539591181524431,102,"0.12, 0.12"
349,True,0.06,J,0.3,1.2979600080568616,102,"0.06, 0.3"
350,True,0.06,J,0.3,0.9566015132252232,102,"0.06, 0.3"
351,True,0.18,J,0.18,0.9881792619614772,102,"0.18, 0.18"
352,True,0.0,J,0.24,1.656639774676023,102,"0.0, 0.24"
353,True,0.18,J,0.3,1.5650369856070938,102,"0.18, 0.3"
354,False,0.12,J,0.12,0.9896335295536574,102,"0.12, 0.12"
355,True,0.3,F,0.18,1.2784297677962968,102,"0.18, 0.3"
356,False,0.0,F,0.0,0.5771378273866503,102,"0.0, 0.0"
357,False,0.18,J,0.0,0.9560059810876282,102,"0.0, 0.18"
358,True,0.3,F,0.06,2.0653456261288743,102,"0.06, 0.3"
359,True,0.12,J,0.24,1.9266315211739307,102,"0.12, 0.24"
360,False,0.12,J,0.0,1.326955455193456,102,"0.0, 0.12"
361,True,0.24,J,0.3,1.402884763769407,102,"0.24, 0.3"
362,True,0.24,F,0.0,0.8397359156440416,102,"0.0, 0.24"
363,False,0.18,J,0.12,1.014426312352498,102,"0.12, 0.18"
364,True,0.12,F,0.06,1.025017613843147,102,"0.06, 0.12"
365,True,0.18,F,0.18,0.7758771112023624,102,"0.18, 0.18"
366,True,0.3,F,0.18,0.7143854742798794,102,"0.18, 0.3"
367,True,0.0,J,0.18,1.7374314182197848,102,"0.0, 0.18"
368,True,0.06,F,0.06,0.8119208661219091,102,"0.06, 0.06"
369,True,0.0,F,0.0,1.1483653550183135,102,"0.0, 0.0"
370,True,0.3,F,0.06,0.8770017651245325,102,"0.06, 0.3"
371,False,0.12,J,0.0,1.770600854385748,102,"0.0, 0.12"
372,True,0.0,J,0.12,1.3567873347674322,102,"0.0, 0.12"
373,True,0.12,F,0.06,1.0481296356683742,102,"0.06, 0.12"
374,True,0.0,J,0.12,1.0982247074771294,102,"0.0, 0.12"
375,False,0.12,F,0.18,0.6996688071099015,102,"0.12, 0.18"
376,True,0.06,J,0.18,0.3819236671592989,102,"0.06, 0.18"
377,True,0.12,J,0.24,1.3672536839462737,102,"0.12, 0.24"
378,False,0.06,F,0.24,0.8787257468534335,102,"0.06, 0.24"
379,True,0.3,F,0.06,0.8145638430123654,102,"0.06, 0.3"
380,True,0.06,J,0.18,0.9262162140448708,102,"0.06, 0.18"
381,False,0.24,J,0.0,1.5191390370137017,102,"0.0, 0.24"
382,True,0.0,J,0.18,1.1645688438752586,102,"0.0, 0.18"
383,True,0.12,F,0.0,1.2459644697687509,102,"0.0, 0.12"
